id,brand,colorway,estimatedMarketValue,gender,image,links,name,releaseDate,releaseYear,retailPrice,silhouette,sku,story
b1f7aabf-c7a5-450b-8eb3-d0e0c166fbcc,Nike,White/University Red/Black/Volt/Neutral Grey,140,men,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/096/727/356/original/HF0105_100.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/096/727/356/original/HF0105_100.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/096/727/356/original/HF0105_100.png.png'}","{'stockX': '', 'goat': 'https://goat.com/sneakers/air-max-1-chili-volt-hf0105-100', 'flightClub': '', 'stadiumGoods': ''}",Air Max 1 'Chili Volt',2024-03-07,2024,140,Air Max 1,HF0105-100,
974e64c7-ea0f-43f0-aec4-bf914fca8597,Nike,Barely Rose/Barely Rose,54,women,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/097/286/879/original/DX4816_600.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/097/286/879/original/DX4816_600.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/097/286/879/original/DX4816_600.png.png'}","{'stockX': 'https://stockx.com/nike-calm-slide-barely-rose-womens', 'goat': 'https://goat.com/sneakers/wmns-calm-slide-barely-rose-dx4816-600', 'flightClub': 'https://flightclub.com/wmns-calm-slide-barely-rose-dx4816-600', 'stadiumGoods': ''}",Nike Calm Slide Barely Rose (Women's),2024-03-01,2024,50,Calm Slide,DX4816-600,
a2128c4c-b290-40b4-8783-cbcfeb030cef,Nike,Court Purple/White/University Gold/Sail,95,women,"{'360': [], 'original': 'https://images.stockx.com/images/Nike-Air-Force-1-Low-Be-True-To-Her-School-LSU-Womens.jpg?fit=fill&bg=FFFFFF&w=500&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1704960772', 'small': 'https://images.stockx.com/images/Nike-Air-Force-1-Low-Be-True-To-Her-School-LSU-Womens.jpg?fit=fill&bg=FFFFFF&w=375&h=375&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1704960772', 'thumbnail': 'https://images.stockx.com/images/Nike-Air-Force-1-Low-Be-True-To-Her-School-LSU-Womens.jpg?fit=fill&bg=FFFFFF&w=200&h=200&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1704960772'}","{'stockX': 'https://stockx.com/nike-air-force-1-low-be-true-to-her-school-lsu-womens', 'goat': '', 'flightClub': '', 'stadiumGoods': ''}",Nike Air Force 1 Low Be True To Her School LSU (Women's),2024-03-01,2024,125,Nike Air Force 1 Low,FJ1408-500,
c3ebae19-8a87-423b-8943-d0525d4fc612,Nike,Coconut Milk/Wheat/Sail/Black/Total Orange/Gum Light Brown,119,men,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/096/255/237/original/FZ4040_113.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/096/255/237/original/FZ4040_113.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/096/255/237/original/FZ4040_113.png.png'}","{'stockX': '', 'goat': 'https://goat.com/sneakers/blazer-mid-77-waffle-fz4040-113', 'flightClub': 'https://flightclub.com/blazer-mid-77-waffle-fz4040-113', 'stadiumGoods': ''}",Blazer Mid '77 'Waffle',2024-03-01,2024,110,Blazer,FZ4040-113,"The Nike Blazer Mid ‘77 ‘Waffle’ features an off-white leather upper with tonal hairy suede overlays. The retro design is updated with an embossed waffle texture on the tan suede Swoosh. The diamond-shaped pattern makes repeat appearances on the Nike tongue tag and suede back tab, marked with embroidered Nike branding. The sneaker rests on a white vulcanized rubber midsole, supported by a herringbone-traction outsole in gum rubber."
eb24648d-7a77-47b0-a118-b17f05f9d709,Nike,Dark Smoke Grey/Dark Smoke Grey-Anthracite-Black,150,men,"{'360': [], 'original': 'https://images.stockx.com/images/Nike-Lunar-Roam-Dark-Smoke-Grey-Black.jpg?fit=fill&bg=FFFFFF&w=500&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1706316976', 'small': 'https://images.stockx.com/images/Nike-Lunar-Roam-Dark-Smoke-Grey-Black.jpg?fit=fill&bg=FFFFFF&w=375&h=375&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1706316976', 'thumbnail': 'https://images.stockx.com/images/Nike-Lunar-Roam-Dark-Smoke-Grey-Black.jpg?fit=fill&bg=FFFFFF&w=200&h=200&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1706316976'}","{'stockX': 'https://stockx.com/nike-lunar-roam-dark-smoke-grey-black', 'goat': '', 'flightClub': '', 'stadiumGoods': ''}",Nike Lunar Roam Dark Smoke Grey Black,2024-03-01,2024,150,Nike Lunar Roam,DV2440-002,
5cbc68a8-7b2c-4444-9d50-c67aa2c409ad,Nike,Ashen Slate/Light Carbon/Football Grey/Summit White/Safety Orange,150,men,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/095/297/879/original/FJ4249_400.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/095/297/879/original/FJ4249_400.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/095/297/879/original/FJ4249_400.png.png'}","{'stockX': 'https://stockx.com/nike-book-1-ashen-slate', 'goat': 'https://goat.com/sneakers/book-1-ashen-slate-fj4249-400', 'flightClub': 'https://flightclub.com/book-1-ashen-slate-fj4249-400', 'stadiumGoods': ''}",Nike Book 1 Ashen Slate,2024-02-29,2024,150,Book 1,FJ4249-400,
cf88a66c-c96e-410c-94df-d7bcddf0a4b9,Nike,Light Orewood Brown/Sesame/Baroque Brown/Sail,404,men,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/095/297/878/original/FJ4249_100.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/095/297/878/original/FJ4249_100.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/095/297/878/original/FJ4249_100.png.png'}","{'stockX': 'https://stockx.com/nike-book-1-light-orewood-brown', 'goat': 'https://goat.com/sneakers/book-1-light-orewood-brown-fj4249-100', 'flightClub': 'https://flightclub.com/book-1-light-orewood-brown-fj4249-100', 'stadiumGoods': ''}",Nike Book 1 Light Orewood Brown,2024-02-29,2024,150,Book 1,FJ4249-100,
1645b394-311e-4b09-b229-b1cc38ff2355,Nike,White/True Red-Mean Green-Varsity Purple,1947,men,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/095/974/159/original/DQ9310_100.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/095/974/159/original/DQ9310_100.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/095/974/159/original/DQ9310_100.png.png'}","{'stockX': 'https://stockx.com/nike-lebron-4-fruity-pebbles-2024', 'goat': 'https://goat.com/sneakers/zoom-lebron-4-fruity-pebbles-2024-dq9310-100', 'flightClub': 'https://flightclub.com/zoom-lebron-4-fruity-pebbles-2024-dq9310-100', 'stadiumGoods': ''}",Nike LeBron 4 Fruity Pebbles (2024),2024-02-23,2024,250,Zoom LeBron 4,DQ9310-100,
9da14b0e-c86c-4008-bab9-fcec89281c40,Nike,Sail/Black-University Red-Metallic Platinum-Muslin,2000,men,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': 'https://stockx.com/nike-air-jordan-air-ship-pe-sp-awake-ny', 'goat': 'https://goat.com/sneakers/awake-ny-x-jordan-air-ship-pe-sp-fn8675-100', 'flightClub': 'https://flightclub.com/awake-ny-x-jordan-air-ship-pe-sp-fn8675-100', 'stadiumGoods': ''}",Nike Jordan Air Ship PE SP Awake NY,2024-02-21,2024,150,Air Ship,FN8675-100,
775b4880-7be0-4078-8275-48f863f8e81f,Nike,Phantom/Ale Brown/Sail/Metallic Gold,125,women,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/094/361/061/original/FJ2260_001.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/094/361/061/original/FJ2260_001.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/094/361/061/original/FJ2260_001.png.png'}","{'stockX': '', 'goat': 'https://goat.com/sneakers/wmns-dunk-low-lx-ale-brown-ostrich-fj2260-001', 'flightClub': 'https://flightclub.com/wmns-dunk-low-lx-ale-brown-ostrich-fj2260-001', 'stadiumGoods': ''}",Wmns Dunk Low LX 'Ale Brown Ostrich',2024-02-17,2024,135,Dunk,FJ2260-001,"The Nike Women’s Dunk Low LX ‘Ale Brown Ostrich’ makes use of a leather upper, featuring a white base with glossy brown overlays in a luxe ostrich texture. Atop the tongue, a leather tag displays a standard Nike logo in metallic gold lettering. Heritage details include a padded low-cut collar and perforated detailing on the toe box. The sneaker rides on a standard white midsole, reinforced underfoot by a gum rubber outsole."
