brand,primary_color,estimatedmarketvalue,gender,name,retailprice,silhouette
adidas,Core Black,188.0,men,Predator 24 League Low FG 'Solar Energy Pack',85.0,Predator 24
adidas,Core Black,241.0,men,Predator 24 League TF 'Solar Energy Pack',95.0,Predator 24
adidas,Team Solar Yellow,205.0,men,X Crazyfast League Laceless FG 'Solar Energy Pack',100.0,X Crazyfast
adidas,Ivory,152.0,men,Copa Pure 2 League FG 'Solar Energy Pack',80.0,Copa Pure
adidas,Ivory,353.0,men,Copa Pure 2 Elite FG 'Solar Energy Pack',230.0,Copa Pure
adidas,Core Black,132.0,men,Predator 24 League Low TF 'Solar Energy Pack',85.0,Predator 24
adidas,Trace Khaki,287.0,women,Stella McCartney x Wmns UltraBoost 20 'Trace Khaki',230.0,UltraBoost 20
adidas,Ivory,311.0,men,Copa Pure 2 Elite TF 'Solar Energy Pack',130.0,Copa Pure
adidas,Preloved Ink,128.0,men,Samba OG 'Reflective Nylon Pack - Preloved Ink',120.0,Samba
adidas,Ivory,150.0,women,Wmns Sambae 'Valentine's Day 2024',110.0,Samba
adidas,Core Black,200.0,men,Copa Pure 2 League IN 'Solar Energy Pack',95.0,Copa Pure
adidas,Team Solar Yellow,272.0,men,X Crazyfast Elite Laceless FG 'Solar Energy Pack',260.0,X Crazyfast
adidas,Green,100.0,men,SL72 RS 'Green Yellow',100.0,SL72
adidas,Core Black,205.0,men,Predator 24 League Laceless FG 'Solar Energy Pack',100.0,Predator 24
adidas,Team Solar Yellow,145.0,men,X Crazyfast League FG 'Solar Energy Pack',85.0,X Crazyfast
adidas,Core Black,208.0,men,Predator 24 Elite TF 'Solar Energy Pack',140.0,Predator 24
adidas,Team Solar Yellow,140.0,men,X Crazyfast Elite IN 'Solar Energy Pack',140.0,X Crazyfast
adidas,Legend Ink,230.0,women,Wmns Switch FWD 'Legend Ink',140.0,Switch FWD
adidas,Putty Mauve,158.0,women,Wmns Superstar XLG 'Valentine's Day 2024',110.0,Superstar
adidas,Preloved Scarlet,160.0,women,Wmns Adizero Boston 12 'Preloved Scarlet Ink',160.0,Adizero Boston
adidas,Putty Mauve,129.0,women,Wmns Gazelle 'Valentine's Day 2024',100.0,Gazelle
adidas,Wonder Beige,94.0,men,Stan Smith CS 'Wonder Beige Gum',100.0,Stan Smith
adidas,Core Black,416.0,kid,Predator 24 Elite FG J 'Solar Energy Pack',140.0,Predator 24
adidas,Black,750.0,men,Y-3 Centennial Low 'Black Off White',400.0,Y-3 Centennial
adidas,Cloud White,101.0,men,Predator 24 League Low Freestyle 'White Scarlet Royal',100.0,Predator 24
adidas,Black,400.0,men,Y-3 Rivalry 'Black Off White',400.0,Y-3 Rivalry
adidas,Core Black,150.0,men,Predator 24 Pro FG 'Solar Energy Pack',150.0,Predator 24
adidas,Team Solar Yellow,225.0,men,X Crazyfast Elite FG 'Solar Energy Pack',260.0,X Crazyfast
adidas,Preloved Brown,109.0,men,Samba OG 'Preloved Brown',150.0,Samba
adidas,Core Black,160.0,men,Stan Smith CS 'Black Gum',100.0,Stan Smith
adidas,Putty Mauve,190.0,women,Wmns UltraBoost Light 'Putty Mauve',190.0,UltraBoost Light
adidas,Cloud White,155.0,men,adidas Centennial Low Consortium Cup END. Present,160.0,Centennial
adidas,Core Black,95.0,men,Predator 24 League FG 'Solar Energy Pack',95.0,Predator 24
adidas,Cream White,117.0,women,Wmns Samba OG 'Cream White Sand Strata',100.0,Samba
adidas,Focus Olive F21,76.0,kid,NMD_V3 J 'Focus Olive',140.0,NMD_V3
adidas,Core Black,175.0,women,Wmns Ozweego OG 'Black Shadow Violet',130.0,Ozweego
Jordan,White,120.0,kid,Air Jordan 1 Retro Low OG GS 'Mocha',120.0,Air Jordan 1
Jordan,White,75.0,kid,Air Jordan 1 Retro Low OG PS 'Mocha',75.0,Air Jordan 1
Jordan,White,65.0,kid,Air Jordan 1 Retro Low OG TD 'Mocha',65.0,Air Jordan 1
Jordan,Black,250.0,men,Jordan 3 Retro J Balvin Rio,250.0,Air Jordan 3
Jordan,Canary,1850.0,women,Jordan 1 Retro Low OG SP Travis Scott Canary (Women's),150.0,Air Jordan 1
Jordan,Summit White,180.0,men,Jordan 1 Retro High OG Denim,180.0,Air Jordan 1
Jordan,White,160.0,kid,Air Jordan 6 Retro GS 'Reverse Oreo',160.0,Air Jordan 6
Jordan,White,100.0,kid,Air Jordan 6 Retro PS 'Reverse Oreo',100.0,Air Jordan 6
Jordan,White,85.0,kid,Air Jordan 6 Retro TD 'Reverse Oreo',85.0,Air Jordan 6
Jordan,White,80.0,kid,Air Jordan 11 Retro Low GS 'Legend Pink',80.0,Air Jordan 11
Jordan,White,60.0,kid,Air Jordan 11 Retro Low TD 'Legend Pink',60.0,Air Jordan 11
Jordan,Black,180.0,women,Wmns Air Jordan 1 Retro High OG 'Latte',180.0,Air Jordan 1
Jordan,White,210.0,men,Air Jordan 4 Retro 'Oxidized Green',210.0,Air Jordan 4
Jordan,White,100.0,kid,Air Jordan 12 Retro PS 'Red Taxi',100.0,Air Jordan 12
Jordan,White,0.0,men,Air Jordan 12 Retro 'Red Taxi',0.0,Air Jordan 12
Jordan,White,85.0,kid,Air Jordan 12 Retro TD 'Red Taxi',85.0,Air Jordan 12
Jordan,White,160.0,kid,Air Jordan 12 Retro GS 'Red Taxi',160.0,Air Jordan 12
Jordan,Black,60.0,kid,Air Jordan 11 Retro Low TD 'Space Jam',60.0,Air Jordan 11
Jordan,Black,190.0,men,Air Jordan 11 Retro Low 'Space Jam',190.0,Air Jordan 11
Jordan,Black,150.0,kid,Air Jordan 11 Retro Low GS 'Space Jam',150.0,Air Jordan 11
Jordan,Black,80.0,kid,Air Jordan 11 Retro Low PS 'Space Jam',80.0,Air Jordan 11
Jordan,White,85.0,kid,Air Jordan 3 Retro TD 'Georgia Peach',85.0,Air Jordan 3
Jordan,White,100.0,kid,Air Jordan 3 Retro PS 'Georgia Peach',100.0,Air Jordan 3
Jordan,White,200.0,women,Wmns Air Jordan 3 Retro 'Georgia Peach',200.0,Air Jordan 3
Jordan,White,180.0,men,Jordan 1 Retro High OG Green Glow,180.0,Air Jordan 1
Jordan,Off White,85.0,kid,Air Jordan 4 Retro TD 'Military Blue' 2024,85.0,Air Jordan 4
Jordan,Off-White,600.0,men,Air Jordan 4 Retro 'Military Blue' 2024,215.0,Air Jordan 4
Jordan,Off White,160.0,kid,Air Jordan 4 Retro GS 'Military Blue' 2024,160.0,Air Jordan 4
Jordan,Off White,100.0,kid,Air Jordan 4 Retro PS 'Military Blue' 2024,100.0,Air Jordan 4
Jordan,White,200.0,men,Jordan 4 Retro Vivid Sulfur (Women's),200.0,Air Jordan 4
Jordan,Sail,160.0,men,Jordan Spizike Low Coconut Milk,160.0,Jordan Spizike
Jordan,Sail,210.0,men,Jordan 5 Retro SE Sail,210.0,Air Jordan 5
Jordan,White,190.0,men,Jordan 11 Retro Low Midnight Navy (2024),190.0,Air Jordan 11
Jordan,White,350.0,kid,Air Jordan 1 Retro High OG GS 'Green Glow',140.0,Air Jordan 1
Jordan,Mint Foam,90.0,kid,Jordan Tatum 2 GS 'Vortex',90.0,Jordan Tatum 2
Jordan,Mint Foam,55.0,kid,Jordan Tatum 2 TD 'Vortex',55.0,Jordan Tatum 2
Jordan,Mint Foam,125.0,men,Jordan Tatum 2 Vortex,125.0,Jordan Tatum 2
Jordan,Mint Foam,75.0,kid,Jordan Tatum 2 PS 'Vortex',75.0,Jordan Tatum 2
Jordan,Sea Glass,180.0,men,Jordan 1 Retro High OG Craft Ivory,180.0,Air Jordan 1
Jordan,Summit White,160.0,kid,Jordan 9 Retro Powder Blue (2024) (GS),160.0,Air Jordan 9
Jordan,Summit White,85.0,kid,Jordan 9 Retro Powder Blue (2024) (TD),85.0,Air Jordan 9
Jordan,Summit White,375.0,men,Jordan 9 Retro Powder Blue (2024),210.0,Air Jordan 9
Jordan,Summit White,100.0,kid,Jordan 9 Retro Powder Blue (2024) (PS),100.0,Air Jordan 9
Jordan,Flint Grey,700.0,men,Jordan 14 Retro Flint Grey,210.0,Air Jordan 14
Jordan,Summit White,141.0,men,Jordan 1 Retro Low 85 Metallic Blue,160.0,Air Jordan 1
Jordan,Black,690.0,men,Jordan 3 Retro Green Glow,200.0,Air Jordan 3
Jordan,Black,100.0,kid,Air Jordan 3 Retro PS 'Green Glow',100.0,Air Jordan 3
Jordan,Black,150.0,kid,Air Jordan 3 Retro GS 'Green Glow',150.0,Air Jordan 3
Jordan,Black,85.0,kid,Air Jordan 3 Retro TD 'Green Glow',85.0,Air Jordan 3
Jordan,Sail,750.0,women,Jordan 4 Retro Metallic Gold (Women's),200.0,Air Jordan 4
Jordan,Army Olive,85.0,kid,Jordan 5 Retro Olive (2024) (TD),85.0,Air Jordan 5
